customer_id,campaign,response,response_date,purchase,purchase_date,product_id,Rowid,age,age_youngest_child,average#balance#feed#index,branch,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,marital,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,X_random
7,2,0, ,0, , ,1,19,0,0,Ravensville,19,M,0,0,0,64,13362,S,2,-4,0,1,1,1,0,9,26,0,3
13,2,0, ,0, , ,2,44,12,0,Catburg,44,M,0,0,0,65,13453,S,2,17,24,0,0,0,0,14,19,0,1
15,2,0, ,0, , ,3,45,12,75,Ravensville,45,F,0,0,0,65,13453,U,2,33,36,0,4,2,1,14,19,7.60233020782471,1
16,2,1,7/5/2006 0:00:00,0, ,183,761,43,12,161,Catburg,43,F,0,0,0,65,13453,U,2,34,36,0,0,3,2,14,19,10.1429996490479,1
23,2,0, ,0, , ,4,42,11,0,Kingsville,42,F,0,0,0,65,13453,M,2,22,24,0,0,0,0,14,19,0,3
24,2,0, ,0, , ,5,39,7,521,Princeton,39,F,0,0,0,65,13453,S,2,26,36,0,0,0,3,14,19,9.85431957244873,2
30,2,0, ,0, , ,6,23,0,0,Princeton,23,F,0,0,0,65,13453,S,2,30,36,0,1,0,0,14,19,0,1
30,3,0, ,0, , ,7,23,0,0,Princeton,23,F,0,0,0,65,13453,S,2,30,36,0,1,0,0,14,19,0,1
33,2,0, ,0, , ,8,24,0,0,Foxton,24,M,0,0,0,65,13453,S,2,-2,0,0,0,0,0,14,19,0,1
42,3,0, ,0, , ,9,35,8,0,Queensbury,35,M,0,0,0,65,13453,M,2,22,24,0,1,0,0,14,19,0,3
42,2,0, ,0, , ,10,35,8,0,Queensbury,35,M,0,0,0,65,13453,M,2,22,24,0,1,0,0,14,19,0,3
52,2,0, ,0, , ,11,43,12,0,Foxton,43,M,0,0,0,47,14124,U,3,40,48,3,1,0,0,16,35,0,1
57,2,0, ,0, , ,12,51,19,0,Catburg,51,M,0,0,0,50,14838,S,2,33,36,3,0,0,0,9,39,0,1
63,2,1,7/14/2006 0:00:00,0, ,183,1501,67,39,174,Foxton,67,M,0,0,0,50,14838,S,2,16,24,3,0,4,1,9,39,10.9589996337891,1
74,2,0, ,0, , ,13,31,0,0,Ravensville,31,M,0,0,0,50,14838,S,3,0,12,3,3,0,0,9,39,0,1
74,3,0, ,0, , ,14,31,0,0,Ravensville,31,M,0,0,0,50,14838,S,3,0,12,3,3,0,0,9,39,0,1
75,2,0, ,0, , ,15,30,3,0,Catburg,30,F,0,0,0,50,14838,S,3,20,24,3,2,0,0,9,39,0,3
82,2,0, ,0, , ,16,32,4,699,Kingsville,32,M,0,0,0,32,14783,M,2,36,48,6,3,2,1,25,42,11.7923002243042,3
89,3,0, ,0, , ,17,46,11,665,Kingsville,46,M,0,0,0,32,14783,M,2,6,12,6,3,2,1,25,42,7.79899978637695,1
89,2,0, ,0, , ,18,46,11,665,Kingsville,46,M,0,0,0,32,14783,M,2,6,12,6,3,2,1,25,42,7.79899978637695,1
90,2,0, ,0, , ,19,70,38,73,Ravensville,70,F,0,0,0,32,14783,M,1,35,36,6,2,2,2,25,42,11.8032999038696,1
90,3,0, ,0, , ,20,70,38,73,Ravensville,70,F,0,0,0,32,14783,M,1,35,36,6,2,2,2,25,42,11.8032999038696,1
94,2,0, ,0, , ,21,28,1,220,Ravensville,28,F,0,0,0,32,14783,S,2,35,36,6,0,4,2,25,42,8.70699024200439,1
95,2,1,7/19/2006 0:00:00,1, ,421,1939,39,11,748,Catburg,39,M,0,0,0,32,14783,S,2,16,24,6,2,4,3,25,42,12.4067001342773,3
96,2,0, ,0, , ,22,38,7,0,Kingsville,38,M,0,0,0,32,14783,U,2,-6,0,6,1,0,0,25,42,0,2
